,Date,start,end,INP,T,INP_plus,INP_minus
350,2016-09-27 00:00:00,2016-09-27 10:57:00,2016-09-27 14:26:00,0.783266989424,-21.0,1.0897614246,0.529688437606
351,2016-09-28 00:00:00,2016-09-28 12:35:00,2016-09-28 15:35:00,0.841389484042,-21.0,1.57399985025,0.345914920307
353,2016-09-30 00:00:00,2016-09-30 11:20:00,2016-09-30 13:55:00,1.51623474949,-21.0,1.98225490473,1.11530682067
354,2016-09-30 00:00:00,2016-09-30 14:21:00,2016-09-30 16:21:00,2.11002836591,-21.0,2.75241609153,1.55980247048
355,2016-09-30 00:00:00,2016-09-30 10:19:00,2016-09-30 13:19:00,2.03906101156,-21.0,3.08833408517,1.20756571573
357,2016-10-03 00:00:00,2016-10-03 10:32:00,2016-10-03 13:35:00,0.798298275943,-21.0,1.13109187308,0.524427816134
358,2016-10-03 00:00:00,2016-10-03 13:35:00,2016-10-03 16:36:00,4.1505707169,-21.0,5.02753011676,3.36227992612
360,2016-10-03 00:00:00,2016-10-03 10:20:00,2016-10-03 13:59:00,0.691069024201,-21.0,1.40624659702,0.249978209373
361,2016-10-04 00:00:00,2016-10-04 10:33:00,2016-10-04 13:20:00,3.12978239695,-21.0,4.62001631738,1.94626304737
362,2016-10-05 00:00:00,2016-10-05 13:39:00,2016-10-05 14:39:00,19.6991879772,-21.0,25.3915112311,14.8071980567
364,2016-10-05 00:00:00,2016-10-05 11:16:00,2016-10-05 12:18:00,1.76224325648,-21.0,3.62888445691,0.616082176091
365,2016-10-06 00:00:00,2016-10-06 14:24:00,2016-10-06 16:54:00,1.52097551819,-21.0,2.51377170916,0.794957105004
366,2016-10-06 00:00:00,2016-10-06 11:40:00,2016-10-06 14:10:00,0.377768348528,-21.0,0.596990455302,0.209767575088
368,2016-10-06 00:00:00,2016-10-06 11:39:00,2016-10-06 14:13:00,5.82419370393,-21.0,6.84055916801,4.90118697692
370,2016-10-07 00:00:00,2016-10-07 10:41:00,2016-10-07 12:41:00,3.72738109185,-21.0,5.65250451408,2.22348573981
371,2016-10-07 00:00:00,2016-10-07 13:02:00,2016-10-07 15:02:00,1.40272137674,-21.0,2.4384410277,0.680857934931
373,2016-10-07 00:00:00,2016-10-07 13:02:00,2016-10-07 15:02:00,1.14222048414,-21.0,2.28600938846,0.398598246495
374,2016-10-10 00:00:00,2016-10-10 12:39:00,2016-10-10 13:39:00,3.53629189789,-21.0,6.3880987833,1.59915167915
375,2016-10-10 00:00:00,2016-10-10 13:50:00,2016-10-10 16:36:00,1.14775924605,-21.0,1.99598132102,0.5406014281
376,2016-10-10 00:00:00,2016-10-10 11:29:00,2016-10-10 16:36:00,0.758778945184,-21.0,1.26601572517,0.387556893986
