,T,INP,start,end
336,-23.17,5.53786437136,2016-10-31 17:30:00,2016-10-31 10:17:00
337,-23.28,6.47427339701,2016-10-31 17:30:00,2016-10-31 10:17:00
338,-24.37,8.07507519969,2016-10-31 17:30:00,2016-10-31 10:17:00
339,,,2016-10-21 16:36:00,2016-10-21 14:42:00
340,-19.0,0.22208603495,2016-10-21 16:36:00,2016-10-21 14:42:00
341,-19.4,0.449941178838,2016-10-21 16:36:00,2016-10-21 14:42:00
342,-20.43,0.683873170787,2016-10-21 16:36:00,2016-10-21 14:42:00
343,-20.78,0.92421504963,2016-10-21 16:36:00,2016-10-21 14:42:00
344,-21.26,1.17132800548,2016-10-21 16:36:00,2016-10-21 14:42:00
345,-21.28,1.42560464472,2016-10-21 16:36:00,2016-10-21 14:42:00
346,-21.37,1.68747274252,2016-10-21 16:36:00,2016-10-21 14:42:00
347,-21.55,1.95739957293,2016-10-21 16:36:00,2016-10-21 14:42:00
348,-21.74,2.52352695133,2016-10-21 16:36:00,2016-10-21 14:42:00
349,-21.98,2.82090898357,2016-10-21 16:36:00,2016-10-21 14:42:00
350,-22.0,3.12872757841,2016-10-21 16:36:00,2016-10-21 14:42:00
351,-22.13,3.44774200096,2016-10-21 16:36:00,2016-10-21 14:42:00
