,T,INPs_perL,F,delta_INP_pos,delta_INP_neg
23,-21.78,9.60566258282,0.684210526316,3.0553195427,2.63409147252
24,-21.81,10.3307573911,0.710526315789,3.16073437138,2.7395063012
25,-21.83,11.1250088894,0.736842105263,3.27204050821,2.85081243804
26,-21.88,12.0030131866,0.763157894737,3.39055305365,2.96932498347
27,-22.01,12.9845384837,0.789473684211,3.51801545845,3.09678738827
28,-22.12,14.0973000889,0.815789473684,3.65682311497,3.2355950448
29,-22.45,15.3818890875,0.842105263158,3.81041498958,3.3891869194
30,-22.65,16.9012353941,0.868421052632,3.98401429709,3.56278622691
31,-22.85,18.7607649884,0.894736842105,4.18617961273,3.76495154256
32,-23.06,21.1581155922,0.921052631579,4.43255486827,4.01132679809
33,-23.29,24.5369914931,0.947368421053,4.75718847625,4.33596040608
34,-23.43,30.3132179977,0.973684210526,5.26408379714,4.84285572696
0,-14.45,0.165021894135,0.0196078431373,0.47877634869,0.16492013954
1,-14.77,0.333377788447,0.0392156862745,0.614383433317,0.300527224166
2,-16.22,0.505205181804,0.0588235294118,0.720065358189,0.406209149039
3,-17.28,0.680650258452,0.078431372549,0.810573742325,0.496717533175
4,-20.42,0.859868635294,0.0980392156863,0.891605054316,0.577748845166
5,-20.68,1.04302619128,0.117647058824,0.966076108887,0.652219899736
6,-20.73,1.23029999005,0.137254901961,1.03571965096,0.721863441805
7,-21.03,1.42187930859,0.156862745098,1.10166685117,0.787810642024
8,-21.19,1.61796678701,0.176470588235,1.16470677304,0.850850563885
9,-21.26,1.81877971683,0.196078431373,1.22541798025,0.911561771095
10,-21.36,2.02455148842,0.21568627451,1.28424177466,0.970385565514
11,-21.52,2.23553322162,0.235294117647,1.34152591174,1.02766970259
12,-21.58,2.45199560832,0.254901960784,1.39755217856,1.08369596941
13,-21.75,2.67423100067,0.274509803922,1.45255459725,1.1386983881
14,-22.03,3.13731309362,0.313725490196,1.56025643001,1.24640022086
15,-22.14,3.3788759009,0.333333333333,1.61328052171,1.29942431256
