,Date,start,end,INP,T,,,,,,,,,,,,,,
251,1.61011E+13,1040,1403,0.679138876,-20,,,,,16101110401403.00,1040,1403,0.448020285,-20,0.448020285,16101110401403.00,,,
252,1.61011E+13,1040,1403,0.448020285,-20,,,,,16101114101624.00,1410,1624,15.82460951,-20,15.82460951,16101114101624.00,,,
253,1.61011E+13,1410,1624,15.82460951,-20,,,,,16101114101624.00,1410,1624,1.051904796,-20,1.051904796,16101114101624.00,,,
254,1.61011E+13,1410,1624,1.051904796,-20,,,,,16101310391442.00,1039,1442,1.342994054,-20,1.342994054,16101310391442.00,,,
255,1.61013E+13,1039,1442,1.342994054,-20,,,,,16101310411442.00,1041,1442,0.855189986,-20,0.855189986,16101310411442.00,,,
256,1.61013E+13,1041,1442,0.855189986,-20,,,,,16101711461449.00,1146,1449,1.072231421,-20,1.072231421,16101711461449.00,,,
257,1.61017E+13,1146,1449,1.072231421,-20,,,,,16101814151610.00,1415,1610,2.662497048,-20,2.662497048,16101814151610.00,,,
258,1.61018E+13,1415,1610,2.662497048,-20,,,,,16101810451352.00,1045,1352,2.13815195,-20,2.13815195,16101810451352.00,,,
259,1.61018E+13,1045,1352,2.13815195,-20,,,,,16101814001615.00,1400,1615,1.160452747,-20,1.160452747,16101814001615.00,,,
260,1.61018E+13,1400,1615,1.160452747,-20,,,,,16102011451335.00,1145,1335,,-20,0,16102011451335.00,,,
261,1.6102E+13,1145,1335,,-20,,,,,16102013451600.00,1345,1600,,-20,0,16102013451600.00,,,
262,1.6102E+13,1345,1600,,-20,,,,,16102114421636.00,1442,1636,6.99142668,-20,6.99142668,16102114421636.00,,,
263,1.61021E+13,1442,1636,6.99142668,-20,,,,,16102111421636.00,1142,1636,2.59709312,-20,2.59709312,16102111421636.00,,,
264,1.61021E+13,1142,1636,2.59709312,-20,,,,,16102412051537.00,1205,1537,1.59207379,-20,1.59207379,16102412051537.00,,,
