,T,INPs_perL,F,K,INPs_perdrop,INPerr_pos,INPerr_neg,delta_INP_pos,delta_INP_neg,run_date,sample_date
33,-22.83,12.4304243716,0.95,2995.73227355,2.99573227355,14.755719699,10.3043821562,2.32529532739,2.12604221536,2016-11-23,2016-10-13
34,-22.98,15.3065537515,0.975,3688.87945411,3.68887945411,17.8759489078,12.9364117072,2.56939515631,2.37014204427,2016-11-23,2016-10-13
0,-12.07,0.180185055027,0.0178571428571,18.0185055027,0.0180185055027,0.703262852603,0.000107257450808,0.523077797576,0.180077797576,2016-10-25,2016-10-14
1,-12.43,0.363676441709,0.0357142857143,36.3676441709,0.0363676441709,1.03465821216,0.0356946712584,0.67098177045,0.32798177045,2016-10-25,2016-10-14
2,-13.11,0.55059777183,0.0535714285714,55.059777183,0.055059777183,1.33667898817,0.107516555492,0.786081216338,0.443081216338,2016-10-25,2016-10-14
3,-15.84,0.741079721537,0.0714285714286,74.1079721537,0.0741079721537,1.62558791853,0.199571524547,0.88450819699,0.54150819699,2016-10-25,2016-10-14
4,-16.29,0.935260580108,0.0892857142857,93.5260580108,0.0935260580108,1.90775293835,0.305768221871,0.972492358237,0.629492358237,2016-10-25,2016-10-14
5,-16.45,1.13328685307,0.107142857143,113.328685307,0.113328685307,2.18650947454,0.423064231603,1.05322262147,0.710222621467,2016-10-25,2016-10-14
6,-16.49,1.33531392625,0.125,133.531392625,0.133531392625,2.46390606047,0.549721792016,1.12859213423,0.78559213423,2016-10-25,2016-10-14
7,-16.69,1.54150679827,0.142857142857,154.150679827,0.154150679827,2.74134218306,0.684671413481,1.19983538479,0.856835384792,2016-10-25,2016-10-14
8,-16.72,1.75204089025,0.160714285714,175.204089025,0.175204089025,3.01985291277,0.827228867735,1.26781202252,0.924812022516,2016-10-25,2016-10-14
9,-17.18,1.96710294246,0.178571428571,196.710294246,0.196710294246,3.30025375855,0.976952126368,1.33315081609,0.990150816092,2016-10-25,2016-10-14
10,-17.4,2.18689200965,0.196428571429,218.689200965,0.218689200965,3.58322176052,1.13356225878,1.39632975087,1.05332975087,2016-10-25,2016-10-14
11,-17.95,2.41162056817,0.214285714286,241.162056817,0.241162056817,3.86934438608,1.29689675026,1.45772381791,1.11472381791,2016-10-25,2016-10-14
12,-18.22,2.64151575042,0.232142857143,264.151575042,0.264151575042,4.15915088657,1.46688061426,1.51763513615,1.17463513615,2016-10-25,2016-10-14
13,-18.48,2.87682072452,0.25,287.682072452,0.287682072452,4.45313352949,1.64350791954,1.57631280497,1.23331280497,2016-10-25,2016-10-14
14,-18.94,3.11779624031,0.267857142857,311.779624031,0.311779624031,4.75176272569,1.82682975493,1.63396648538,1.29096648538,2016-10-25,2016-10-14
15,-19.44,3.36472236621,0.285714285714,336.472236621,0.336472236621,5.05549835932,2.01694637311,1.6907759931,1.3477759931,2016-10-25,2016-10-14
16,-19.81,3.61790044606,0.303571428571,361.790044606,0.361790044606,5.36479871506,2.21400217705,1.74689826901,1.40389826901,2016-10-25,2016-10-14
17,-19.91,3.87765531009,0.321428571429,387.765531009,0.387765531009,5.6801278858,2.41818273438,1.80247257571,1.45947257571,2016-10-25,2016-10-14
18,-20.27,4.14433778091,0.339285714286,414.433778091,0.414433778091,6.00196224776,2.62971331406,1.85762446685,1.51462446685,2016-10-25,2016-10-14
19,-20.4,4.41832752279,0.357142857143,441.832752279,0.441832752279,6.33079641414,2.84885863144,1.91246889135,1.56946889135,2016-10-25,2016-10-14
20,-20.44,4.98991166119,0.392857142857,498.991166119,0.498991166119,7.01156824904,3.31125507334,2.02165658785,1.67865658785,2016-10-25,2016-10-14
21,-20.57,5.28844129269,0.410714285714,528.844129269,0.528844129269,7.36463830974,3.55524427563,2.07619701706,1.73319701706,2016-10-25,2016-10-14
22,-20.85,5.59615787935,0.428571428571,559.615787935,0.559615787935,7.72698539287,3.80833036583,2.13082751352,1.78782751352,2016-10-25,2016-10-14
23,-20.98,5.9136448625,0.446428571429,591.36448625,0.59136448625,8.09928497075,4.07100475425,2.18564010825,1.84264010825,2016-10-25,2016-10-14
24,-21.01,6.24154309073,0.464285714286,624.154309073,0.624154309073,8.48226965161,4.34381652985,2.24072656088,1.89772656088,2016-10-25,2016-10-14
25,-21.32,6.58055860749,0.482142857143,658.055860749,0.658055860749,8.87673816091,4.62737905406,2.29617955342,1.95317955342,2016-10-25,2016-10-14
26,-21.53,6.9314718056,0.5,693.14718056,0.69314718056,9.28356568311,4.92237792809,2.35209387751,2.00909387751,2016-10-25,2016-10-14
27,-21.74,7.29514824731,0.517857142857,729.514824731,0.729514824731,9.70371590334,5.22958059128,2.40856765603,2.06556765603,2016-10-25,2016-10-14
28,-21.77,7.67255152714,0.535714285714,767.255152714,0.767255152714,10.1382551684,5.54984788587,2.46570364127,2.12270364127,2016-10-25,2016-10-14
29,-21.86,8.06475865867,0.553571428571,806.475865867,0.806475865867,10.5883692938,5.88414802355,2.52361063512,2.18061063512,2016-10-25,2016-10-14
30,-21.99,8.47297860387,0.571428571429,847.297860387,0.847297860387,11.0553836875,6.23357352025,2.58240508363,2.23940508363,2016-10-25,2016-10-14
31,-22.1,9.34309237377,0.607142857143,934.309237377,0.934309237377,12.0462640287,6.98292071883,2.70317165494,2.36017165494,2016-10-25,2016-10-14
32,-22.32,9.80829253012,0.625,980.829253012,0.980829253012,12.5737255816,7.38585947862,2.7654330515,2.4224330515,2016-10-25,2016-10-14
33,-22.41,10.2961941718,0.642857142857,1029.61941718,1.02961941718,13.1253602911,7.81002805248,2.82916611934,2.48616611934,2016-10-25,2016-10-14
34,-22.48,10.8091271157,0.660714285714,1080.91271157,1.08091271157,13.7036881142,8.25756611722,2.89456099847,2.55156099847,2016-10-25,2016-10-14
35,-22.58,11.9213834668,0.696428571429,1192.13834668,1.19213834668,14.9526158071,9.23315112648,3.03123234031,2.68823234031,2016-10-25,2016-10-14
36,-22.71,12.527629685,0.714285714286,1252.7629685,1.2527629685,15.6306743228,9.76758504707,3.10304463788,2.76004463788,2016-10-25,2016-10-14
37,-22.78,13.1730148963,0.732142857143,1317.30148963,1.31730148963,16.3506233805,10.3384064121,3.17760848422,2.83460848422,2016-10-25,2016-10-14
38,-22.84,13.8629436112,0.75,1386.29436112,1.38629436112,17.1182690468,10.9506181756,3.2553254356,2.9123254356,2016-10-25,2016-10-14
39,-22.87,14.6040233327,0.767857142857,1460.40233327,1.46040233327,17.9407026335,11.6103440319,3.33667930081,2.99367930081,2016-10-25,2016-10-14
40,-22.94,15.4044504095,0.785714285714,1540.44504095,1.54044504095,18.8267123172,12.3251885017,3.42226190775,3.07926190775,2016-10-25,2016-10-14
41,-23.07,16.2745641794,0.803571428571,1627.45641794,1.62745641794,19.7873739565,13.1047544022,3.51280977718,3.16980977718,2016-10-25,2016-10-14
42,-23.14,17.2276659774,0.821428571429,1722.76659774,1.72276659774,20.836923802,13.9614081528,3.60925782459,3.26625782459,2016-10-25,2016-10-14
43,-23.24,18.281271134,0.839285714286,1828.1271134,1.8281271134,21.9940917913,14.9114504767,3.71282065731,3.36982065731,2016-10-25,2016-10-14
44,-23.53,19.4591014906,0.857142857143,1945.91014906,1.94591014906,23.2842221089,15.9769808722,3.82512061831,3.48212061831,2016-10-25,2016-10-14
45,-23.57,20.7944154168,0.875,2079.44154168,2.07944154168,24.7428148033,17.1890160303,3.94839938652,3.60539938652,2016-10-25,2016-10-14
46,-23.67,22.3359222151,0.892857142857,2233.59222151,2.23359222151,26.4218113934,18.5930330367,4.08588917834,3.74288917834,2016-10-25,2016-10-14
47,-23.7,24.159137783,0.910714285714,2415.9137783,2.4159137783,28.4016534449,20.2596221211,4.24251566186,3.89951566186,2016-10-25,2016-10-14
48,-23.73,26.3905732962,0.928571428571,2639.05732962,2.63905732962,30.8169450076,22.3072015847,4.42637171148,4.08337171148,2016-10-25,2016-10-14
49,-23.76,29.2673940207,0.946428571429,2926.73940207,2.92673940207,33.9196788066,24.9581092347,4.65228478597,4.30928478597,2016-10-25,2016-10-14
50,-23.83,33.3220451018,0.964285714286,3332.20451018,3.33220451018,38.274645701,28.7124445025,4.95260059921,4.60960059921,2016-10-25,2016-10-14
51,-23.98,40.2535169074,0.982142857143,4025.35169074,4.02535169074,45.6799110641,35.1701227506,5.42639415673,5.08339415673,2016-10-25,2016-10-14
0,-11.66,0.113918713827,0.0204081632653,20.6192872027,0.0206192872027,0.44434064259,7.1370699746e-05,0.330421928763,0.113847343128,2016-10-25,2016-10-14
1,-11.76,0.230235891716,0.0408163265306,41.6726964006,0.0416726964006,0.654318190342,0.0227281787252,0.424082298626,0.207507712991,2016-10-25,2016-10-14
2,-11.81,0.349054705091,0.0612244897959,63.1789016215,0.0631789016215,0.84617712523,0.0685068705884,0.497122420138,0.280547834503,2016-10-25,2016-10-14
3,-11.92,0.470485128952,0.0816326530612,85.1578083403,0.0851578083403,1.03020374955,0.12734109399,0.559718620597,0.343144034962,2016-10-25,2016-10-14
4,-12.08,0.594644553549,0.102040816327,107.630664192,0.107630664192,1.21044519158,0.195418501153,0.615800638032,0.399226052396,2016-10-25,2016-10-14
5,-12.33,0.721658466393,0.122448979592,130.620182417,0.130620182417,1.38903946035,0.270852058067,0.667380993961,0.450806408326,2016-10-25,2016-10-14
6,-12.64,0.851661214515,0.142857142857,154.150679827,0.154150679827,1.56731688754,0.35258012713,0.715655673021,0.499081087386,2016-10-25,2016-10-14
7,-14.01,0.984796858598,0.163265306122,178.248231406,0.178248231406,1.74620278013,0.439965522703,0.761405921531,0.544831335895,2016-10-25,2016-10-14
8,-14.57,1.12122013258,0.183673469388,202.940843997,0.202940843997,1.92639735303,0.532617497762,0.805177220452,0.588602634817,2016-10-25,2016-10-14
9,-15.72,1.26109752476,0.204081632653,228.258651981,0.228258651981,2.10846759219,0.630302042955,0.847370067438,0.630795481802,2016-10-25,2016-10-14
10,-15.91,1.40460849936,0.224489795918,254.234138384,0.254234138384,2.29289900208,0.732892582276,0.88829050272,0.671715917085,2016-10-25,2016-10-14
11,-15.97,1.55194688103,0.244897959184,280.902385466,0.280902385466,2.48012715795,0.840341189749,0.928180276916,0.711605691281,2016-10-25,2016-10-14
12,-16.07,1.70332242903,0.265306122449,308.301359655,0.308301359655,2.67055832249,0.952661121208,0.967235893458,0.750661307822,2016-10-25,2016-10-14
13,-16.24,1.85896263327,0.285714285714,336.472236621,0.336472236621,2.86458382382,1.06991602835,1.00562119055,0.789046604916,2016-10-25,2016-10-14
14,-16.28,2.01911477069,0.30612244898,365.459773494,0.365459773494,3.06259075549,1.19221337152,1.04347598481,0.826901399171,2016-10-25,2016-10-14
15,-16.34,2.35405743266,0.34693877551,426.084395311,0.426084395311,3.4721259028,1.45256354815,1.11806847014,0.901493884507,2016-10-25,2016-10-14
16,-16.37,2.52946460567,0.367346938776,457.833093625,0.457833093625,3.68447798381,1.59102581316,1.15501337814,0.938438792509,2016-10-25,2016-10-14
17,-16.4,2.71062384778,0.387755102041,490.622916448,0.490622916448,3.90247215563,1.73535012557,1.19184830785,0.975273722213,2016-10-25,2016-10-14
18,-16.44,3.50123624359,0.469387755102,633.723760089,0.633723760089,4.84100945891,2.3780376139,1.33977321532,1.12319862969,2016-10-25,2016-10-14
19,-16.47,3.94346114786,0.510204081633,713.766467763,0.713766467763,5.35869408918,2.74480279218,1.41523294132,1.19865835568,2016-10-25,2016-10-14
20,-16.52,4.42418698758,0.551020408163,800.777844752,0.800777844752,5.91679105311,3.14815750769,1.49260406553,1.2760294799,2016-10-25,2016-10-14
21,-16.56,4.68120364855,0.571428571429,847.297860387,0.847297860387,6.21345002818,3.36553185455,1.53224637963,1.315671794,2016-10-25,2016-10-14
22,-16.59,4.95076256661,0.591836734694,896.088024557,0.896088024557,6.52343324601,3.59466647285,1.5726706794,1.35609609376,2016-10-25,2016-10-14
23,-16.63,5.53286486306,0.632653061224,1001.44854021,1.00144854021,7.18923349424,4.09307081752,1.65636863118,1.43979404555,2016-10-25,2016-10-14
24,-16.67,6.18359986669,0.673469387755,1119.23157587,1.11923157587,7.92847542713,4.65529889188,1.74487556044,1.52830097481,2016-10-25,2016-10-14
