OADateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C) or Pressure(Pa),PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
42648.67139,4.031,2.015,5.038,4.031,0,1.008,0,0,0,0,0,0,1.008,0,0,0,5.67,7.67,12.33,0,17.131,0.992,3.83,x,1.28,3.57,97.34,1,4.23,31.04
42648.6714,4.031,3.023,5.039,1.008,0,0,0,0,0,0,0,0,0,0,0,0,7.33,7.67,0,0,13.1,0.992,3.8,x,0.87,1.49,1.51,1,4.19,30.67
42648.67141,6.046,3.023,4.031,0,1.008,0,1.008,0,0,0,0,0,0,0,0,0,6,0,0,0,15.116,0.992,3.82,x,0.85,3.3,5.14,1,4.18,30.36
42648.67143,13.102,6.047,3.024,1.008,0,0,2.016,1.008,0,0,0,0,0,0,0,0,6.33,7,0,11,26.205,0.992,3.82,x,1.11,6.69,17.24,1,4.21,30.2
42648.67144,4.031,2.016,3.024,1.008,0,3.024,0,0,0,0,0,0,0,0,0,0,6,9,8,0,13.102,0.992,3.83,x,0.88,4.17,5.06,1,4.21,29.89
42648.67145,8.062,3.023,4.031,1.008,0,0,0,0,0,0,0,0,0,0,0,0,6.67,7,0,0,16.124,0.992,3.83,x,0.86,1.4,1.42,1,4.18,29.56
42648.67146,3.023,9.069,2.015,2.015,1.008,0,1.008,0,0,1.008,0,0,0,0,0,0,6.33,9,0,0,19.146,0.992,3.83,x,1.15,4.73,39.54,1,4.19,29.67
42648.67147,8.062,1.008,2.016,1.008,0,0,0,0,0,0,0,0,0,0,0,0,5.67,10.33,0,0,12.093,0.992,3.84,x,0.54,0.93,0.95,0.99,4.15,29.34
42648.67148,9.07,2.016,8.062,1.008,0,2.016,0,0,0,0,0,0,0,0,0,0,6.33,7.67,8,0,22.171,0.992,3.84,x,1.39,4.08,4.68,1,4.15,29.06
42648.6715,10.078,2.016,4.031,1.008,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,17.133,0.992,3.83,x,0.84,1.38,1.4,1,4.12,28.74
42648.67151,9.07,3.023,2.015,1.008,0,1.008,0,1.008,0,0,0,0,0,0,0,0,6,7,8.33,9.67,17.132,0.992,3.84,x,0.77,3.89,11.16,0.99,4.11,28.54
42648.67152,6.047,2.016,6.047,1.008,1.008,0,0,0,0,0,0,0,0,0,0,0,6.67,6.33,0,0,16.125,0.992,3.84,x,1.07,2.25,2.33,0.99,4.09,28.25
42648.67153,11.084,4.031,1.008,1.008,0,1.008,1.008,1.008,0,0,0,0,0,0,0,0,7,7,8.33,10.33,20.153,0.992,3.82,x,0.81,5.54,14.62,0.99,4.11,28.1
42648.67154,7.054,5.039,2.016,0,0,1.008,1.008,0,0,1.008,0,0,1.008,0,0,0,6.33,0,9,0,18.14,0.992,3.82,x,0.75,4.29,132.91,0.99,4.11,29.24
42648.67155,8.06,3.023,1.008,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33,0,0,0,12.09,0.993,3.83,x,0.43,0.54,0.54,0.98,4.07,28.93
42648.67157,8.062,2.015,1.008,0,0,1.008,1.008,0,0,0,0,0,0,0,0,0,4.67,0,7,0,13.101,0.992,3.86,x,0.5,3.15,5.19,0.98,4.06,28.68
42648.67158,5.036,2.014,2.014,1.007,1.007,1.007,0,0,0,0,0,0,0,0,0,0,6.67,9.67,7.67,0,12.086,0.993,3.86,x,0.74,2.57,2.93,0.98,4.05,28.41
42648.67159,12.085,2.014,2.014,1.007,0,0,0,1.007,0,1.007,0,0,0,0,0,0,6,7.67,0,13.67,19.134,0.993,3.86,x,0.69,3.58,43.2,0.97,4.04,28.56
42648.6716,5.039,2.016,4.031,1.008,0,1.008,0,0,0,0,1.008,0,0,0,0,0,5.67,7,7,0,14.11,0.992,3.88,x,0.82,2.58,57.97,0.97,4.03,28.87
42648.67161,6.047,3.023,8.062,3.023,0,0,0,1.008,0,1.008,0,0,0,1.008,1.008,0,5.67,8,0,14.33,24.187,0.992,3.9,x,1.44,5.21,221.21,0.98,4.04,30.83
42648.67162,6.046,6.046,4.031,0,1.008,0,1.008,1.008,0,0,0,0,0,0,0,0,6,0,0,9.67,19.145,0.992,3.92,x,0.99,5.16,13.78,0.98,4.05,30.66
42648.67164,6.046,5.039,4.031,1.008,0,1.008,0,0,0,0,0,0,0,0,0,0,6,8.33,12.33,0,17.131,0.992,3.93,x,0.98,2.45,2.75,0.98,4.03,30.38
42648.67165,7.055,1.008,4.031,0,0,4.031,0,0,1.008,0,0,1.008,0,0,0,0,5.67,0,8,0,18.141,0.992,3.94,x,0.94,6.28,100.21,0.98,4.06,31.07
42648.67166,5.039,3.023,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,0,0,5.67,7,0,0,11.085,0.992,3.96,x,0.59,1.41,1.48,0.97,4.03,30.78
42648.67167,6.045,4.03,1.008,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,0,5.67,6.33,8.33,0,14.106,0.993,3.98,x,0.75,2.47,2.83,0.97,4.02,30.51
42648.67168,6.046,3.023,2.015,0,2.015,0,1.008,1.008,0,0,0,0,0,0,0,0,6.33,0,0,10.33,15.116,0.992,3.97,x,0.74,5.17,13.74,0.97,4.03,30.35
42648.6717,5.039,2.016,1.008,2.016,1.008,1.008,1.008,1.008,0,0,0,1.008,0,0,0,0,5.33,7.33,9,9.67,15.116,0.992,3.99,x,0.78,6.09,90.56,0.97,4.05,30.92
42648.67171,8.061,8.061,2.015,2.015,0,1.008,1.008,0,0,0,0,0,0,0,0,0,6.33,9,9,0,22.169,0.992,3.98,x,1.13,4.28,6.29,0.97,4.05,30.69
42648.67172,15.116,5.039,2.015,2.015,0,2.015,0,0,1.008,0,0,0,0,0,0,0,6.33,7.67,11.67,0,27.208,0.992,3.97,x,1.17,4.92,21.39,0.97,4.06,30.6
42648.67173,6.047,4.031,1.008,2.016,0,0,0,0,0,0,0,0,0,0,0,0,7.33,9,0,0,13.101,0.992,3.93,x,0.67,1.25,1.27,0.97,4.03,30.33
42648.67174,4.031,7.054,4.031,2.015,0,0,1.008,0,0,0,0,0,0,0,0,0,5.67,8.33,0,0,18.139,0.992,3.97,x,1.11,3.48,5.21,0.97,4.03,30.1
42648.67175,7.053,6.046,6.046,2.015,2.015,1.008,1.008,0,0,0,0,0,0,0,0,0,5.67,9,11,0,25.19,0.992,4,x,1.61,5.95,8.07,0.97,4.04,29.9
42648.67177,6.043,2.014,5.035,2.014,1.007,1.007,0,0,0,0,0,0,0,0,0,0,6,7.33,7.67,0,17.121,0.993,4.01,x,1.14,3.32,3.69,0.98,4.04,29.66
42648.67178,8.062,4.031,4.031,1.008,2.016,0,1.008,1.008,1.008,0,0,0,0,0,0,0,6,7,0,15.67,22.171,0.992,4.01,x,1.14,7.18,31.4,0.98,4.06,29.68
42648.67179,10.076,6.046,4.031,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,20.153,0.992,3.98,x,0.9,1.23,1.23,0.98,4.04,29.43
42648.6718,13.101,6.047,0,1.008,0,0,0,0,1.008,0,0,0,0,0,0,0,7,7.67,0,0,21.163,0.992,3.93,x,0.71,2.31,18.36,0.97,4.02,29.33
42648.67181,9.068,5.038,4.03,0,2.015,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,20.151,0.992,3.95,x,1.06,2.36,2.49,0.97,4.01,29.1
42648.67182,12.093,5.039,4.031,3.023,1.008,0,0,0,0,0,0,0,0,0,0,0,7.33,7.33,0,0,25.194,0.992,3.9,x,1.39,2.91,3.02,0.98,4,28.87
42648.67184,11.084,5.038,2.015,3.023,1.008,1.008,0,0,0,0,0,0,0,0,0,0,6.67,7.33,9,0,23.175,0.992,3.88,x,1.27,3.58,3.98,0.98,4,28.66
