OADateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C) or Pressure(Pa),PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
42643.51059,12.092,3.023,5.038,2.015,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,6,6,8.33,0,25.191,0.992,3.85,x,1.4,5.32,7.46,1.07,4.19,10.91
42643.5106,7.054,0,2.015,2.015,2.015,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,13.101,0.992,3.85,x,0.83,2.44,2.6,1.07,4.16,10.77
42643.51062,12.093,2.015,4.031,3.023,2.015,0,1.008,0,0,0,0,0,0,0,0,0,7.33,6.67,0,0,24.186,0.992,3.83,x,1.41,5.06,7,1.07,4.17,10.71
42643.51063,9.069,7.054,5.038,2.015,1.008,2.015,1.008,0,0,0,0,0,0,0,0,0,6.67,6.67,7.33,0,27.207,0.992,3.82,x,1.66,6.59,9.04,1.08,4.21,10.69
42643.51064,9.069,2.015,11.084,3.023,1.008,0,0,1.008,0,0,0,0,0,0,0,0,6,7,0,11,27.207,0.992,3.83,x,1.89,5.68,12.79,1.09,4.23,10.72
42643.51065,4.03,7.053,2.015,1.008,2.015,0,1.008,0,0,0,0,0,0,0,0,0,6,6.33,0,0,17.129,0.992,3.85,x,1.06,4.12,6.02,1.09,4.23,10.65
42643.51066,6.047,2.016,2.016,2.016,1.008,0,0,0,0,0,0,0,0,0,0,0,5.33,7.33,0,0,13.101,0.992,3.87,x,0.79,1.92,2.01,1.09,4.2,10.52
42643.51068,9.069,6.046,3.023,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,0,4.67,7,7.67,0,21.161,0.992,3.97,x,1.11,2.99,3.35,1.09,4.18,10.41
42643.51069,4.031,7.054,5.038,2.015,1.008,0,1.008,0,0,0,0,0,0,0,0,0,4.67,6.33,0,0,20.153,0.992,4.08,x,1.28,4.13,5.88,1.09,4.18,10.35
42643.5107,6.046,4.031,5.038,1.008,2.015,6.046,0,0,0,0,0,0,0,0,0,0,6.33,9.67,7,0,24.185,0.992,4.06,x,1.64,8.49,10.27,1.1,4.24,10.35
42643.51071,9.067,4.03,4.03,0,1.007,3.022,0,1.007,0,0,0,0,0,0,0,0,5.33,0,8.33,10.33,22.164,0.993,4.1,x,1.12,6.2,13.61,1.1,4.27,10.39
42643.51072,5.037,5.037,2.015,1.007,0,1.007,0,2.015,0,0,0,0,0,0,0,0,5.67,6.33,7.67,12.33,16.119,0.993,4.11,x,0.75,5.35,18.64,1.09,4.28,10.51
42643.51073,5.039,3.024,3.024,2.016,1.008,0,0,0,0,0,0,0,0,0,0,0,6.67,8.67,0,0,14.11,0.992,4.09,x,0.87,2.01,2.1,1.09,4.25,10.39
42643.51075,8.062,6.047,5.039,1.008,1.008,3.023,3.023,0,1.008,0,0,0,0,0,0,0,6.33,5.67,6.67,0,28.217,0.992,4.07,x,1.52,11.13,32.5,1.1,4.34,10.69
42643.51076,9.07,6.047,5.039,0,2.016,2.016,1.008,0,0,0,0,0,0,0,0,0,5.67,0,7.67,0,25.196,0.992,4.1,x,1.37,5.98,8.3,1.1,4.37,10.66
42643.51077,9.07,3.023,6.046,1.008,0,2.015,2.015,0,0,0,0,0,0,0,0,0,7.33,7,8.33,0,23.178,0.992,4.06,x,1.26,6.77,10.67,1.1,4.4,10.66
42643.51078,7.053,4.03,4.03,2.015,1.008,1.008,0,0,0,0,0,0,0,0,0,0,5.33,6.67,8.33,0,19.145,0.992,4.09,x,1.14,3.24,3.6,1.1,4.38,10.57
42643.51079,4.031,8.061,4.031,3.023,3.023,1.008,0,0,0,0,0,0,0,0,0,0,5.67,8.67,8.33,0,23.176,0.992,4.12,x,1.61,4.88,5.37,1.11,4.39,10.5
