,# temperatures,INP,ff,K,date
21,-26.17,0.0,0.458333333333,575.364144904,2016-10-13
22,-26.17,0.0,0.479166666667,613.104472886,2016-10-13
23,-26.33,0.0,0.5,652.32518604,2016-10-13
24,-26.58,0.0,0.520833333333,693.14718056,2016-10-13
25,-26.65,0.0,0.541666666667,735.706794979,2016-10-13
26,-27.06,0.0,0.5625,780.15855755,2016-10-13
27,-27.36,0.0,0.583333333333,826.678573184,2016-10-13
28,-27.4,0.0,0.604166666667,875.468737354,2016-10-13
29,-27.81,0.0,0.625,926.762031741,2016-10-13
30,-27.85,0.0,0.645833333333,980.829253012,2016-10-13
31,-27.92,0.0,0.666666666667,1037.98766685,2016-10-13
32,-28.14,0.0,0.6875,1098.61228867,2016-10-13
33,-28.51,0.0,0.708333333333,1163.15080981,2016-10-13
34,-28.63,0.0,0.729166666667,1232.14368129,2016-10-13
35,-28.73,0.0,0.75,1306.25165345,2016-10-13
36,-29.01,0.0,0.770833333333,1386.29436112,2016-10-13
37,-29.01,0.0,0.791666666667,1473.30573811,2016-10-13
38,-29.21,0.0,0.8125,1568.61591791,2016-10-13
39,-29.5,0.0,0.833333333333,1673.97643357,2016-10-13
40,-29.79,0.0,0.854166666667,1791.75946923,2016-10-13
41,-30.17,0.0,0.875,1925.29086185,2016-10-13
42,-30.17,0.0,0.895833333333,2079.44154168,2016-10-13
43,-31.13,0.0,0.916666666667,2261.76309847,2016-10-13
44,-31.9,0.0,0.9375,2484.90664979,2016-10-13
45,-32.33,0.0,0.958333333333,2772.58872224,2016-10-13
46,-32.4,0.0,0.979166666667,3178.05383035,2016-10-13
47,-32.68,0.0,1.0,3871.20101091,2016-10-13
0,-21.76,0.0,0.037037037037,-0.0,2016-10-18
1,-21.78,0.0,0.0740740740741,37.7403279828,2016-10-18
2,-22.79,0.0,0.111111111111,76.9610411361,2016-10-18
3,-23.69,0.0,0.148148148148,117.783035656,2016-10-18
4,-24.07,0.0,0.185185185185,160.342650075,2016-10-18
5,-24.14,0.0,0.222222222222,204.794412646,2016-10-18
6,-24.19,0.0,0.259259259259,251.314428281,2016-10-18
7,-24.3,0.0,0.296296296296,300.10459245,2016-10-18
8,-24.38,0.0,0.333333333333,351.397886838,2016-10-18
